Central Atlantic (PADD 1B) Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240738&sdid=PET.EMM_EPMRU_PTE_R1Y_DPG.M
15:29:05 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R1Y_DPG.M Dollars per Gallon
Jun 2014,3.75
May 2014,3.789
Apr 2014,3.717
Mar 2014,3.667
Feb 2014,3.584
Jan 2014,3.585
Dec 2013,3.522
Nov 2013,3.416
Oct 2013,3.468
Sep 2013,3.643
Aug 2013,3.666
Jul 2013,3.637
Jun 2013,3.55
May 2013,3.541
Apr 2013,3.648
Mar 2013,3.802
Feb 2013,3.811
Jan 2013,3.595
Dec 2012,3.592
Nov 2012,3.721
Oct 2012,3.912
Sep 2012,3.935
Aug 2012,3.716
Jul 2012,3.471
Jun 2012,3.529
May 2012,3.761
Apr 2012,3.988
Mar 2012,3.875
Feb 2012,3.705
Jan 2012,3.52
Dec 2011,3.39
Nov 2011,3.474
Oct 2011,3.535
Sep 2011,3.66
Aug 2011,3.683
Jul 2011,3.699
Jun 2011,3.74
May 2011,3.947
Apr 2011,3.823
Mar 2011,3.597
Feb 2011,3.273
Jan 2011,3.198
Dec 2010,3.122
Nov 2010,2.962
Oct 2010,2.849
Sep 2010,2.663
Aug 2010,2.722
Jul 2010,2.716
Jun 2010,2.737
May 2010,2.875
Apr 2010,2.891
Mar 2010,2.829
Feb 2010,2.736
Jan 2010,2.808
Dec 2009,2.709
Nov 2009,2.755
Oct 2009,2.603
Sep 2009,2.629
Aug 2009,2.691
Jul 2009,2.599
Jun 2009,2.655
May 2009,2.321
Apr 2009,2.117
Mar 2009,2.032
Feb 2009,2.011
Jan 2009,1.833
Dec 2008,1.856
Nov 2008,2.388
Oct 2008,3.167
Sep 2008,3.681
Aug 2008,3.821
Jul 2008,4.082
Jun 2008,4.087
May 2008,3.816
Apr 2008,3.5
Mar 2008,3.304
Feb 2008,3.161
Jan 2008,3.214
Dec 2007,3.16
Nov 2007,3.169
Oct 2007,2.882
Sep 2007,2.806
Aug 2007,2.821
Jul 2007,2.953
Jun 2007,3.035
May 2007,3.041
Apr 2007,2.847
Mar 2007,2.641
Feb 2007,2.32
Jan 2007,2.369
Dec 2006,2.419
Nov 2006,2.3
Oct 2006,2.346
Sep 2006,2.653
Aug 2006,2.967
Jul 2006,2.928
Jun 2006,2.821
May 2006,2.933
Apr 2006,2.796
Mar 2006,2.452
Feb 2006,2.389
Jan 2006,2.456
Dec 2005,2.278
Nov 2005,2.301
Oct 2005,2.675
Sep 2005,3.027
Aug 2005,2.471
Jul 2005,2.295
Jun 2005,2.171
May 2005,2.153
Apr 2005,2.232
Mar 2005,2.09
Feb 2005,1.957
Jan 2005,1.892
Dec 2004,1.902
Nov 2004,2.014
Oct 2004,2.037
Sep 2004,1.896
Aug 2004,1.891
Jul 2004,1.909
Jun 2004,1.982
May 2004,1.99
Apr 2004,1.773
Mar 2004,1.757
Feb 2004,1.689
Jan 2004,1.616
Dec 2003,1.534
Nov 2003,1.552
Oct 2003,1.61
Sep 2003,1.701
Aug 2003,1.59
Jul 2003,1.501
Jun 2003,1.469
May 2003,1.48
Apr 2003,1.574
Mar 2003,1.671
Feb 2003,1.636
Jan 2003,1.514
Dec 2002,1.44
Nov 2002,1.445
Oct 2002,1.449
Sep 2002,1.425
Aug 2002,1.411
Jul 2002,1.393
Jun 2002,1.372
May 2002,1.385
Apr 2002,1.392
Mar 2002,1.243
Feb 2002,1.144
Jan 2002,1.145
Dec 2001,1.114
Nov 2001,1.171
Oct 2001,1.293
Sep 2001,1.428
Aug 2001,1.38
Jul 2001,1.434
Jun 2001,1.587
May 2001,1.641
Apr 2001,1.518
Mar 2001,1.419
Feb 2001,1.477
Jan 2001,1.478
Dec 2000,1.517
Nov 2000,1.563
Oct 2000,1.556
Sep 2000,1.564
Aug 2000,1.513
Jul 2000,1.603
Jun 2000,1.592
May 2000,1.476
Apr 2000,1.474
Mar 2000,1.538
Feb 2000,1.391
Jan 2000,1.334
Dec 1999,1.328
Nov 1999,1.305
Oct 1999,1.311
Sep 1999,1.281
Aug 1999,1.233
Jul 1999,1.161
Jun 1999,1.11
May 1999,1.113
Apr 1999,1.092
Mar 1999,0.965
Feb 1999,0.927
Jan 1999,0.95
Dec 1998,0.967
Nov 1998,1.033
Oct 1998,1.049
Sep 1998,1.031
Aug 1998,1.05
Jul 1998,1.07
Jun 1998,1.087
May 1998,1.081
Apr 1998,1.058
Mar 1998,1.045
Feb 1998,1.091
Jan 1998,1.143
Dec 1997,1.183
Nov 1997,1.221
Oct 1997,1.26
Sep 1997,1.295
Aug 1997,1.259
Jul 1997,1.212
Jun 1997,1.233
May 1997,1.231
Apr 1997,1.224
Mar 1997,1.256
Feb 1997,1.297
Jan 1997,1.312
Dec 1996,1.308
Nov 1996,1.268
Oct 1996,1.232
Sep 1996,1.226
Aug 1996,1.23
Jul 1996,1.254
