Gulf Coast Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240783&sdid=PET.EMM_EPMRU_PTE_R30_DPG.M
15:34:33 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R30_DPG.M Dollars per Gallon
Jun 2014,3.444
May 2014,3.444
Apr 2014,3.453
Mar 2014,3.272
Feb 2014,3.142
Jan 2014,3.104
Dec 2013,3.087
Nov 2013,3.042
Oct 2013,3.119
Sep 2013,3.308
Aug 2013,3.385
Jul 2013,3.392
Jun 2013,3.349
May 2013,3.344
Apr 2013,3.363
Mar 2013,3.525
Feb 2013,3.464
Jan 2013,3.155
Dec 2012,3.11
Nov 2012,3.22
Oct 2012,3.493
Sep 2012,3.638
Aug 2012,3.506
Jul 2012,3.204
Jun 2012,3.282
May 2012,3.514
Apr 2012,3.758
Mar 2012,3.656
Feb 2012,3.45
Jan 2012,3.208
Dec 2011,3.073
Nov 2011,3.193
Oct 2011,3.28
Sep 2011,3.443
Aug 2011,3.524
Jul 2011,3.518
Jun 2011,3.523
May 2011,3.747
Apr 2011,3.655
Mar 2011,3.432
Feb 2011,3.073
Jan 2011,2.952
Dec 2010,2.846
Nov 2010,2.69
Oct 2010,2.656
Sep 2010,2.565
Aug 2010,2.598
Jul 2010,2.585
Jun 2010,2.613
May 2010,2.741
Apr 2010,2.741
Mar 2010,2.673
Feb 2010,2.533
Jan 2010,2.597
Dec 2009,2.486
Nov 2009,2.529
Oct 2009,2.409
Sep 2009,2.379
Aug 2009,2.491
Jul 2009,2.397
Jun 2009,2.505
May 2009,2.163
Apr 2009,1.96
Mar 2009,1.869
Feb 2009,1.827
Jan 2009,1.676
Dec 2008,1.609
Nov 2008,2.049
Oct 2008,2.909
Sep 2008,3.656
Aug 2008,3.659
Jul 2008,3.939
Jun 2008,3.911
May 2008,3.663
Apr 2008,3.363
Mar 2008,3.157
Feb 2008,2.941
Jan 2008,2.936
Dec 2007,2.898
Nov 2007,2.971
Oct 2007,2.71
Sep 2007,2.708
Aug 2007,2.707
Jul 2007,2.875
Jun 2007,2.953
May 2007,3
Apr 2007,2.722
Mar 2007,2.411
Feb 2007,2.134
Jan 2007,2.117
Dec 2006,2.205
Nov 2006,2.12
Oct 2006,2.147
Sep 2006,2.469
Aug 2006,2.853
Jul 2006,2.858
Jun 2006,2.75
May 2006,2.777
Apr 2006,2.719
Mar 2006,2.37
Feb 2006,2.203
Jan 2006,2.256
Dec 2005,2.141
Nov 2005,2.217
Oct 2005,2.703
Sep 2005,2.758
Aug 2005,2.399
Jul 2005,2.197
Jun 2005,2.068
May 2005,2.063
Apr 2005,2.167
Mar 2005,2.002
Feb 2005,1.828
Jan 2005,1.758
Dec 2004,1.753
Nov 2004,1.879
Oct 2004,1.894
Sep 2004,1.775
Aug 2004,1.793
Jul 2004,1.809
Jun 2004,1.862
May 2004,1.865
Apr 2004,1.689
Mar 2004,1.621
Feb 2004,1.557
Jan 2004,1.505
Dec 2003,1.402
Nov 2003,1.404
Oct 2003,1.43
Sep 2003,1.533
Aug 2003,1.516
Jul 2003,1.43
Jun 2003,1.385
May 2003,1.379
Apr 2003,1.478
Mar 2003,1.588
Feb 2003,1.55
Jan 2003,1.407
Dec 2002,1.339
Nov 2002,1.366
Oct 2002,1.391
Sep 2002,1.321
Aug 2002,1.307
Jul 2002,1.298
Jun 2002,1.293
May 2002,1.316
Apr 2002,1.324
Mar 2002,1.185
Feb 2002,1.057
Jan 2002,1.062
Dec 2001,1.027
Nov 2001,1.086
Oct 2001,1.228
Sep 2001,1.389
Aug 2001,1.295
Jul 2001,1.292
Jun 2001,1.491
May 2001,1.563
Apr 2001,1.464
Mar 2001,1.341
Feb 2001,1.396
Jan 2001,1.373
Dec 2000,1.361
Nov 2000,1.424
Oct 2000,1.442
Sep 2000,1.458
Aug 2000,1.416
Jul 2000,1.503
Jun 2000,1.497
May 2000,1.421
Apr 2000,1.415
Mar 2000,1.471
Feb 2000,1.331
Jan 2000,1.243
Dec 1999,1.237
Nov 1999,1.21
Oct 1999,1.209
Sep 1999,1.194
Aug 1999,1.151
Jul 1999,1.09
Jun 1999,1.053
May 1999,1.06
Apr 1999,1.046
Mar 1999,0.922
Feb 1999,0.883
Jan 1999,0.892
Dec 1998,0.895
Nov 1998,0.94
Oct 1998,0.965
Sep 1998,0.942
Aug 1998,0.966
Jul 1998,0.989
Jun 1998,1
May 1998,1.007
Apr 1998,1.006
Mar 1998,1.003
Feb 1998,1.032
Jan 1998,1.071
Dec 1997,1.102
Nov 1997,1.132
Oct 1997,1.159
Sep 1997,1.184
Aug 1997,1.178
Jul 1997,1.145
Jun 1997,1.162
May 1997,1.167
Apr 1997,1.182
Mar 1997,1.196
Feb 1997,1.221
Jan 1997,1.22
Dec 1996,1.225
Nov 1996,1.213
Oct 1996,1.179
Sep 1996,1.177
Aug 1996,1.183
Jul 1996,1.2
Jun 1996,1.232
May 1996,1.252
Apr 1996,1.219
Mar 1996,1.124
Feb 1996,1.073
Jan 1996,1.077
Dec 1995,1.054
Nov 1995,1.048
Oct 1995,1.073
Sep 1995,1.1
Aug 1995,1.124
Jul 1995,1.165
Jun 1995,1.202
May 1995,1.186
Apr 1995,1.109
Mar 1995,1.067
Feb 1995,1.075
Jan 1995,1.087
Dec 1994,1.098
Nov 1994,1.104
Oct 1994,1.101
Sep 1994,1.124
Aug 1994,1.124
Jul 1994,1.076
Jun 1994,1.051
May 1994,1.025
Apr 1994,1.011
Mar 1994,0.983
Feb 1994,0.986
Jan 1994,0.984
Dec 1993,1.01
Nov 1993,1.053
Oct 1993,1.08
Sep 1993,1.052
Aug 1993,1.066
Jul 1993,1.082
Jun 1993,1.092
May 1993,1.092
Apr 1993,1.074
Mar 1993,1.047
Feb 1993,1.04
Jan 1993,1.053
Dec 1992,1.066
Nov 1992,1.091
Oct 1992,1.095
Sep 1992,1.108
Aug 1992,1.113
Jul 1992,1.124
Jun 1992,1.123
May 1992, 
