Lower Atlantic (PADD 1C) Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240753&sdid=PET.EMM_EPMRU_PTE_R1Z_DPG.M
15:33:37 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R1Z_DPG.M Dollars per Gallon
Jun 2014,3.576
May 2014,3.625
Apr 2014,3.621
Mar 2014,3.439
Feb 2014,3.312
Jan 2014,3.314
Dec 2013,3.296
Nov 2013,3.233
Oct 2013,3.266
Sep 2013,3.412
Aug 2013,3.466
Jul 2013,3.467
Jun 2013,3.43
May 2013,3.42
Apr 2013,3.482
Mar 2013,3.682
Feb 2013,3.647
Jan 2013,3.366
Dec 2012,3.27
Nov 2012,3.328
Oct 2012,3.625
Sep 2012,3.777
Aug 2012,3.628
Jul 2012,3.301
Jun 2012,3.316
May 2012,3.568
Apr 2012,3.856
Mar 2012,3.786
Feb 2012,3.624
Jan 2012,3.4
Dec 2011,3.237
Nov 2011,3.333
Oct 2011,3.375
Sep 2011,3.529
Aug 2011,3.606
Jul 2011,3.594
Jun 2011,3.57
May 2011,3.816
Apr 2011,3.711
Mar 2011,3.513
Feb 2011,3.161
Jan 2011,3.051
Dec 2010,2.948
Nov 2010,2.782
Oct 2010,2.724
Sep 2010,2.607
Aug 2010,2.623
Jul 2010,2.605
Jun 2010,2.628
May 2010,2.791
Apr 2010,2.8
Mar 2010,2.751
Feb 2010,2.624
Jan 2010,2.695
Dec 2009,2.579
Nov 2009,2.614
Oct 2009,2.462
Sep 2009,2.439
Aug 2009,2.536
Jul 2009,2.475
Jun 2009,2.56
May 2009,2.213
Apr 2009,2.025
Mar 2009,1.935
Feb 2009,1.899
Jan 2009,1.75
Dec 2008,1.669
Nov 2008,2.125
Oct 2008,3.152
Sep 2008,3.773
Aug 2008,3.725
Jul 2008,3.995
Jun 2008,3.976
May 2008,3.742
Apr 2008,3.438
Mar 2008,3.239
Feb 2008,3.032
Jan 2008,3.055
Dec 2007,2.998
