Midwest Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240768&sdid=PET.EMM_EPMRU_PTE_R20_DPG.M
15:34:15 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R20_DPG.M Dollars per Gallon
Jun 2014,3.666
May 2014,3.586
Apr 2014,3.593
Mar 2014,3.527
Feb 2014,3.314
Jan 2014,3.206
Dec 2013,3.136
Nov 2013,3.131
Oct 2013,3.259
Sep 2013,3.489
Aug 2013,3.503
Jul 2013,3.501
Jun 2013,3.713
May 2013,3.699
Apr 2013,3.501
Mar 2013,3.638
Feb 2013,3.629
Jan 2013,3.189
Dec 2012,3.218
Nov 2012,3.338
Oct 2012,3.616
Sep 2012,3.836
Aug 2012,3.746
Jul 2012,3.417
Jun 2012,3.491
May 2012,3.613
Apr 2012,3.79
Mar 2012,3.787
Feb 2012,3.467
Jan 2012,3.312
Dec 2011,3.197
Nov 2011,3.284
Oct 2011,3.358
Sep 2011,3.591
Aug 2011,3.628
Jul 2011,3.64
Jun 2011,3.644
May 2011,3.888
Apr 2011,3.784
Mar 2011,3.506
Feb 2011,3.169
Jan 2011,3.073
Dec 2010,2.949
Nov 2010,2.818
Oct 2010,2.776
Sep 2010,2.704
Aug 2010,2.667
Jul 2010,2.688
Jun 2010,2.672
May 2010,2.754
Apr 2010,2.803
Mar 2010,2.716
Feb 2010,2.552
Jan 2010,2.657
Dec 2009,2.532
Nov 2009,2.586
Oct 2009,2.488
Sep 2009,2.427
Aug 2009,2.53
Jul 2009,2.433
Jun 2009,2.627
May 2009,2.248
Apr 2009,1.986
Mar 2009,1.92
Feb 2009,1.856
Jan 2009,1.804
Dec 2008,1.625
Nov 2008,1.973
Oct 2008,2.876
Sep 2008,3.697
Aug 2008,3.702
Jul 2008,3.962
Jun 2008,3.974
May 2008,3.747
Apr 2008,3.403
Mar 2008,3.184
Feb 2008,3.004
Jan 2008,2.992
Dec 2007,2.952
Nov 2007,3.075
Oct 2007,2.781
Sep 2007,2.905
Aug 2007,2.813
Jul 2007,2.987
Jun 2007,3.037
May 2007,3.205
Apr 2007,2.761
Mar 2007,2.488
Feb 2007,2.25
Jan 2007,2.116
Dec 2006,2.251
Nov 2006,2.201
Oct 2006,2.149
Sep 2006,2.366
Aug 2006,2.891
Jul 2006,2.945
Jun 2006,2.792
May 2006,2.786
Apr 2006,2.704
Mar 2006,2.431
Feb 2006,2.222
Jan 2006,2.287
Dec 2005,2.171
Nov 2005,2.126
Oct 2005,2.592
Sep 2005,2.824
Aug 2005,2.444
Jul 2005,2.232
Jun 2005,2.106
May 2005,2.055
Apr 2005,2.18
Mar 2005,2.075
Feb 2005,1.885
Jan 2005,1.806
Dec 2004,1.743
Nov 2004,1.901
Oct 2004,1.94
Sep 2004,1.831
Aug 2004,1.838
Jul 2004,1.845
Jun 2004,1.863
May 2004,1.945
Apr 2004,1.745
Mar 2004,1.674
Feb 2004,1.609
Jan 2004,1.552
Dec 2003,1.426
Nov 2003,1.469
Oct 2003,1.516
Sep 2003,1.602
Aug 2003,1.601
Jul 2003,1.473
Jun 2003,1.464
May 2003,1.431
Apr 2003,1.474
Mar 2003,1.622
Feb 2003,1.596
Jan 2003,1.431
Dec 2002,1.338
Nov 2002,1.385
Oct 2002,1.465
Sep 2002,1.375
Aug 2002,1.367
Jul 2002,1.394
Jun 2002,1.353
May 2002,1.36
Apr 2002,1.369
Mar 2002,1.251
Feb 2002,1.094
Jan 2002,1.096
Dec 2001,1.079
Nov 2001,1.118
Oct 2001,1.232
Sep 2001,1.615
Aug 2001,1.46
Jul 2001,1.301
Jun 2001,1.573
May 2001,1.768
Apr 2001,1.559
Mar 2001,1.372
Feb 2001,1.433
Jan 2001,1.448
Dec 2000,1.401
Nov 2000,1.498
Oct 2000,1.506
Sep 2000,1.537
Aug 2000,1.395
Jul 2000,1.51
Jun 2000,1.747
May 2000,1.457
Apr 2000,1.39
Mar 2000,1.489
Feb 2000,1.402
Jan 2000,1.287
Dec 1999,1.25
Nov 1999,1.232
Oct 1999,1.202
Sep 1999,1.236
Aug 1999,1.183
Jul 1999,1.128
Jun 1999,1.085
May 1999,1.085
Apr 1999,1.085
Mar 1999,0.963
Feb 1999,0.88
Jan 1999,0.9
Dec 1998,0.893
Nov 1998,0.963
Oct 1998,1.004
Sep 1998,0.996
Aug 1998,1.012
Jul 1998,1.056
Jun 1998,1.058
May 1998,1.059
Apr 1998,1.018
Mar 1998,1.002
Feb 1998,1.008
Jan 1998,1.018
Dec 1997,1.07
Nov 1997,1.119
Oct 1997,1.141
Sep 1997,1.192
Aug 1997,1.219
Jul 1997,1.159
Jun 1997,1.185
May 1997,1.176
Apr 1997,1.151
Mar 1997,1.158
Feb 1997,1.199
Jan 1997,1.221
Dec 1996,1.228
Nov 1996,1.236
Oct 1996,1.187
Sep 1996,1.178
Aug 1996,1.164
Jul 1996,1.179
Jun 1996,1.202
May 1996,1.224
Apr 1996,1.206
Mar 1996,1.127
Feb 1996,1.066
Jan 1996,1.066
Dec 1995,1.041
Nov 1995,1.017
Oct 1995,1.035
Sep 1995,1.069
Aug 1995,1.074
Jul 1995,1.099
Jun 1995,1.158
May 1995,1.154
Apr 1995,1.091
Mar 1995,1.027
Feb 1995,1.014
Jan 1995,1.014
Dec 1994,1.014
Nov 1994,1.076
Oct 1994,1.084
Sep 1994,1.135
Aug 1994,1.166
Jul 1994,1.106
Jun 1994,1.075
May 1994,1.039
Apr 1994,1.016
Mar 1994,0.986
Feb 1994,0.987
Jan 1994,0.966
Dec 1993,0.965
Nov 1993,1.038
Oct 1993,1.07
Sep 1993,1.019
Aug 1993,1.032
Jul 1993,1.05
Jun 1993,1.083
May 1993,1.095
Apr 1993,1.071
Mar 1993,1.026
Feb 1993,1.018
Jan 1993,1.016
Dec 1992,1.028
Nov 1992,1.079
Oct 1992,1.09
Sep 1992,1.098
Aug 1992,1.083
Jul 1992,1.102
Jun 1992,1.135
May 1992, 
