New England (PADD 1A) Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240723&sdid=PET.EMM_EPMRU_PTE_R1X_DPG.M
15:27:54 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R1X_DPG.M Dollars per Gallon
Jun 2014,3.711
May 2014,3.711
Apr 2014,3.695
Mar 2014,3.626
Feb 2014,3.525
Jan 2014,3.523
Dec 2013,3.51
Nov 2013,3.429
Oct 2013,3.511
Sep 2013,3.682
Aug 2013,3.709
Jul 2013,3.65
Jun 2013,3.556
May 2013,3.544
Apr 2013,3.601
Mar 2013,3.782
Feb 2013,3.785
Jan 2013,3.557
Dec 2012,3.549
Nov 2012,3.634
Oct 2012,3.844
Sep 2012,3.915
Aug 2012,3.731
Jul 2012,3.508
Jun 2012,3.586
May 2012,3.797
Apr 2012,3.941
Mar 2012,3.832
Feb 2012,3.68
Jan 2012,3.479
Dec 2011,3.35
Nov 2011,3.469
Oct 2011,3.534
Sep 2011,3.664
Aug 2011,3.697
Jul 2011,3.724
Jun 2011,3.746
May 2011,3.919
Apr 2011,3.788
Mar 2011,3.575
Feb 2011,3.269
Jan 2011,3.184
Dec 2010,3.115
Nov 2010,2.952
Oct 2010,2.835
Sep 2010,2.676
Aug 2010,2.724
Jul 2010,2.734
Jun 2010,2.756
May 2010,2.862
Apr 2010,2.865
Mar 2010,2.794
Feb 2010,2.719
Jan 2010,2.779
Dec 2009,2.684
Nov 2009,2.721
Oct 2009,2.589
Sep 2009,2.625
Aug 2009,2.649
Jul 2009,2.59
Jun 2009,2.615
May 2009,2.275
Apr 2009,2.059
Mar 2009,1.979
Feb 2009,1.97
Jan 2009,1.811
Dec 2008,1.814
Nov 2008,2.355
Oct 2008,3.092
Sep 2008,3.663
Aug 2008,3.818
Jul 2008,4.066
Jun 2008,4.074
May 2008,3.774
Apr 2008,3.446
Mar 2008,3.269
Feb 2008,3.117
Jan 2008,3.154
Dec 2007,3.134
Nov 2007,3.124
Oct 2007,2.852
Sep 2007,2.798
Aug 2007,2.839
Jul 2007,2.98
Jun 2007,3.024
May 2007,3.048
Apr 2007,2.828
Mar 2007,2.61
Feb 2007,2.288
Jan 2007,2.313
Dec 2006,2.382
Nov 2006,2.247
Oct 2006,2.3
Sep 2006,2.627
Aug 2006,2.971
Jul 2006,2.904
Jun 2006,2.806
May 2006,2.881
Apr 2006,2.749
Mar 2006,2.388
Feb 2006,2.324
Jan 2006,2.413
Dec 2005,2.235
Nov 2005,2.266
Oct 2005,2.69
Sep 2005,3.018
Aug 2005,2.459
Jul 2005,2.31
Jun 2005,2.153
May 2005,2.158
Apr 2005,2.23
Mar 2005,2.084
Feb 2005,1.963
Jan 2005,1.887
Dec 2004,1.927
Nov 2004,2.027
Oct 2004,2.026
Sep 2004,1.908
Aug 2004,1.927
Jul 2004,1.946
Jun 2004,2.023
May 2004,1.982
Apr 2004,1.763
Mar 2004,1.749
Feb 2004,1.689
Jan 2004,1.633
Dec 2003,1.563
Nov 2003,1.571
Oct 2003,1.624
Sep 2003,1.701
Aug 2003,1.594
Jul 2003,1.504
Jun 2003,1.478
May 2003,1.507
Apr 2003,1.584
Mar 2003,1.664
Feb 2003,1.626
Jan 2003,1.505
Dec 2002,1.476
Nov 2002,1.475
Oct 2002,1.448
Sep 2002,1.413
Aug 2002,1.412
Jul 2002,1.38
Jun 2002,1.374
May 2002,1.392
Apr 2002,1.381
Mar 2002,1.246
Feb 2002,1.172
Jan 2002,1.164
Dec 2001,1.143
Nov 2001,1.261
Oct 2001,1.381
Sep 2001,1.442
Aug 2001,1.39
Jul 2001,1.427
Jun 2001,1.587
May 2001,1.641
Apr 2001,1.522
Mar 2001,1.455
Feb 2001,1.483
Jan 2001,1.491
Dec 2000,1.547
Nov 2000,1.587
Oct 2000,1.581
Sep 2000,1.578
Aug 2000,1.55
Jul 2000,1.612
Jun 2000,1.603
May 2000,1.495
Apr 2000,1.49
Mar 2000,1.556
Feb 2000,1.401
Jan 2000,1.343
Dec 1999,1.337
Nov 1999,1.343
Oct 1999,1.346
Sep 1999,1.291
Aug 1999,1.24
Jul 1999,1.148
Jun 1999,1.108
May 1999,1.129
Apr 1999,1.102
Mar 1999,0.976
Feb 1999,0.952
Jan 1999,0.976
Dec 1998,0.996
Nov 1998,1.038
Oct 1998,1.05
Sep 1998,1.037
Aug 1998,1.054
Jul 1998,1.069
Jun 1998,1.078
May 1998,1.059
Apr 1998,1.035
Mar 1998,1.031
Feb 1998,1.092
Jan 1998,1.14
Dec 1997,1.177
Nov 1997,1.218
Oct 1997,1.241
Sep 1997,1.274
Aug 1997,1.243
Jul 1997,1.169
Jun 1997,1.191
May 1997,1.192
Apr 1997,1.208
Mar 1997,1.239
Feb 1997,1.275
Jan 1997,1.291
Dec 1996,1.29
Nov 1996,1.252
Oct 1996,1.235
Sep 1996,1.24
Aug 1996,1.237
Jul 1996,1.245
Jun 1996,1.273
May 1996,1.292
Apr 1996,1.214
Mar 1996,1.137
Feb 1996,1.124
Jan 1996,1.14
Dec 1995,1.119
Nov 1995,1.121
Oct 1995,1.172
Sep 1995,1.187
Aug 1995,1.193
Jul 1995,1.208
Jun 1995,1.221
May 1995,1.178
Apr 1995,1.108
Mar 1995,1.096
Feb 1995,1.103
Jan 1995,1.11
Dec 1994,1.129
Nov 1994,1.159
Oct 1994,1.139
Sep 1994,1.156
Aug 1994,1.153
Jul 1994,1.108
Jun 1994,1.083
May 1994,1.055
Apr 1994,1.035
Mar 1994,1.037
Feb 1994,1.033
Jan 1994,1.034
Dec 1993,1.052
Nov 1993,1.08
Oct 1993,1.094
Sep 1993,1.064
Aug 1993,1.077
Jul 1993,1.093
Jun 1993,1.102
May 1993,1.092
Apr 1993,1.073 
