Rocky Mountain Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240798&sdid=PET.EMM_EPMRU_PTE_R40_DPG.M
15:34:55 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R40_DPG.M Dollars per Gallon
Jun 2014,3.555
May 2014,3.505
Apr 2014,3.453
Mar 2014,3.438
Feb 2014,3.206
Jan 2014,3.137
Dec 2013,3.08
Nov 2013,3.216
Oct 2013,3.44
Sep 2013,3.601
Aug 2013,3.636
Jul 2013,3.623
Jun 2013,3.702
May 2013,3.612
Apr 2013,3.5
Mar 2013,3.471
Feb 2013,3.325
Jan 2013,2.916
Dec 2012,3.211
Nov 2012,3.538
Oct 2012,3.72
Sep 2012,3.721
Aug 2012,3.518
Jul 2012,3.519
Jun 2012,3.69
May 2012,3.755
Apr 2012,3.785
Mar 2012,3.53
Feb 2012,3.108
Jan 2012,3.018
Dec 2011,3.188
Nov 2011,3.416
Oct 2011,3.523
Sep 2011,3.587
Aug 2011,3.541
Jul 2011,3.52
Jun 2011,3.635
May 2011,3.724
Apr 2011,3.579
Mar 2011,3.37
Feb 2011,3.063
Jan 2011,2.89
Dec 2010,2.798
Nov 2010,2.783
Oct 2010,2.797
Sep 2010,2.82
Aug 2010,2.794
Jul 2010,2.75
Jun 2010,2.774
May 2010,2.875
Apr 2010,2.866
Mar 2010,2.721
Feb 2010,2.613
Jan 2010,2.582
Dec 2009,2.524
Nov 2009,2.593
Oct 2009,2.519
Sep 2009,2.575
Aug 2009,2.584
Jul 2009,2.545
Jun 2009,2.544
May 2009,2.22
Apr 2009,2.022
Mar 2009,1.845
Feb 2009,1.778
Jan 2009,1.577
Dec 2008,1.59
Nov 2008,2.155
Oct 2008,3.142
Sep 2008,3.717
Aug 2008,3.92
Jul 2008,4.082
Jun 2008,3.972
May 2008,3.66
Apr 2008,3.371
Mar 2008,3.161
Feb 2008,2.972
Jan 2008,2.935
Dec 2007,2.975
Nov 2007,3.042
Oct 2007,2.825
Sep 2007,2.825
