West Coast Regular Conventional Retail Gasoline Prices Monthly
http://www.eia.gov/beta/api/qb.cfm?category=240809&sdid=PET.EMM_EPMRU_PTE_R50_DPG.M
15:35:17 GMT-0400 (EDT)
Source: Energy Information Administration
Month,Series ID: PET.EMM_EPMRU_PTE_R50_DPG.M Dollars per Gallon
Jun 2014,3.893
May 2014,3.828
Apr 2014,3.75
Mar 2014,3.583
Feb 2014,3.377
Jan 2014,3.357
Dec 2013,3.341
Nov 2013,3.384
Oct 2013,3.541
Sep 2013,3.679
Aug 2013,3.771
Jul 2013,3.804
Jun 2013,3.776
May 2013,3.806
Apr 2013,3.724
Mar 2013,3.823
Feb 2013,3.631
Jan 2013,3.332
Dec 2012,3.406
Nov 2012,3.651
Oct 2012,3.981
Sep 2012,3.964
Aug 2012,3.796
Jul 2012,3.622
Jun 2012,3.967
May 2012,4.115
Apr 2012,4.087
Mar 2012,3.989
Feb 2012,3.658
Jan 2012,3.48
Dec 2011,3.472
Nov 2011,3.656
Oct 2011,3.74
Sep 2011,3.804
Aug 2011,3.711
Jul 2011,3.724
Jun 2011,3.824
May 2011,3.961
Apr 2011,3.881
Mar 2011,3.685
Feb 2011,3.351
Jan 2011,3.196
Dec 2010,3.114
Nov 2010,3.035
Oct 2010,2.988
Sep 2010,2.951
Aug 2010,3.032
Jul 2010,2.987
Jun 2010,2.953
May 2010,3.011
Apr 2010,3.016
Mar 2010,2.931
Feb 2010,2.821
Jan 2010,2.849
Dec 2009,2.787
Nov 2009,2.816
Oct 2009,2.759
Sep 2009,2.884
Aug 2009,2.825
Jul 2009,2.738
Jun 2009,2.738
May 2009,2.38
Apr 2009,2.232
Mar 2009,2.155
Feb 2009,2.145
Jan 2009,1.955
Dec 2008,1.877
Nov 2008,2.427
Oct 2008,3.258
Sep 2008,3.738
Aug 2008,3.961
Jul 2008,4.234
Jun 2008,4.199
May 2008,3.785
Apr 2008,3.543
Mar 2008,3.383
Feb 2008,3.078
Jan 2008,3.08
Dec 2007,3.116
Nov 2007,3.154
Oct 2007,2.929
Sep 2007,2.824
Aug 2007,2.828
Jul 2007,2.995
Jun 2007,3.174
May 2007,3.284
Apr 2007,3.018
Mar 2007,2.695
Feb 2007,2.426
Jan 2007,2.525
Dec 2006,2.537
Nov 2006,2.457
Oct 2006,2.53
Sep 2006,2.837
Aug 2006,3.016
Jul 2006,3.001
Jun 2006,3.053
May 2006,3.09
Apr 2006,2.717
Mar 2006,2.43
Feb 2006,2.321
Jan 2006,2.292
Dec 2005,2.235
Nov 2005,2.451
Oct 2005,2.799
Sep 2005,2.935
Aug 2005,2.587
Jul 2005,2.406
Jun 2005,2.284
May 2005,2.379
Apr 2005,2.404
Mar 2005,2.157
Feb 2005,1.984
Jan 2005,1.849
Dec 2004,1.928
Nov 2004,2.065
Oct 2004,2.091
Sep 2004,2.004
Aug 2004,1.965
Jul 2004,2.005
Jun 2004,2.143
May 2004,2.174
Apr 2004,1.956
Mar 2004,1.859
Feb 2004,1.731
Jan 2004,1.633
Dec 2003,1.588
Nov 2003,1.637
Oct 2003,1.681
Sep 2003,1.864
Aug 2003,1.766
Jul 2003,1.643
Jun 2003,1.634
May 2003,1.633
Apr 2003,1.764
Mar 2003,1.84
Feb 2003,1.611
Jan 2003,1.406
Dec 2002,1.372
Nov 2002,1.401
Oct 2002,1.397
Sep 2002,1.431
Aug 2002,1.451
Jul 2002,1.46
Jun 2002,1.443
May 2002,1.423
Apr 2002,1.415
Mar 2002,1.266
Feb 2002,1.186
Jan 2002,1.191
Dec 2001,1.221
Nov 2001,1.395
Oct 2001,1.546
Sep 2001,1.633
Aug 2001,1.478
Jul 2001,1.539
Jun 2001,1.617
May 2001,1.599
Apr 2001,1.553
Mar 2001,1.549
Feb 2001,1.529
Jan 2001,1.53
Dec 2000,1.616
Nov 2000,1.674
Oct 2000,1.707
Sep 2000,1.705
Aug 2000,1.629
Jul 2000,1.627
Jun 2000,1.561
May 2000,1.58
Apr 2000,1.646
Mar 2000,1.613
Feb 2000,1.413
Jan 2000,1.357
Dec 1999,1.357
Nov 1999,1.347
Oct 1999,1.366
Sep 1999,1.395
Aug 1999,1.416
Jul 1999,1.361
Jun 1999,1.312
May 1999,1.343
Apr 1999,1.388
Mar 1999,1.114
Feb 1999,1.037
Jan 1999,1.067
Dec 1998,1.088
Nov 1998,1.111
Oct 1998,1.123
Sep 1998,1.129
Aug 1998,1.14
Jul 1998,1.152
Jun 1998,1.16
May 1998,1.165
Apr 1998,1.126
Mar 1998,1.123
Feb 1998,1.202
Jan 1998,1.268
Dec 1997,1.313
Nov 1997,1.359
Oct 1997,1.383
Sep 1997,1.384
Aug 1997,1.313
Jul 1997,1.282
Jun 1997,1.308
May 1997,1.338
Apr 1997,1.35
Mar 1997,1.335
Feb 1997,1.326
Jan 1997,1.296
Dec 1996,1.286
Nov 1996,1.333
Oct 1996,1.382
Sep 1996,1.398
Aug 1996,1.424
Jul 1996,1.441
Jun 1996,1.466
May 1996,1.477
Apr 1996,1.362
Mar 1996,1.253
Feb 1996,1.226
Jan 1996,1.239
Dec 1995,1.246
Nov 1995,1.256
Oct 1995,1.264
Sep 1995,1.272
Aug 1995,1.276
Jul 1995,1.28
Jun 1995,1.278
May 1995,1.264
Apr 1995,1.221
Mar 1995,1.205
Feb 1995,1.212
Jan 1995,1.229
Dec 1994,
Nov 1994,
Oct 1994,1.229
Sep 1994,1.225
Aug 1994,1.223
Jul 1994,1.196
Jun 1994,1.17
May 1994,1.146
Apr 1994,1.123
Mar 1994,1.112
Feb 1994,1.108
Jan 1994,1.108
Dec 1993,1.131
Nov 1993,1.177
Oct 1993,1.212
Sep 1993,1.161
Aug 1993,1.156
Jul 1993,1.175
Jun 1993,1.186
May 1993,1.175
Apr 1993,1.155
Mar 1993,1.163
Feb 1993,1.195
Jan 1993,1.21
Dec 1992,1.221
Nov 1992,1.244
Oct 1992,1.23
Sep 1992,1.238
Aug 1992,1.254
Jul 1992,1.266
Jun 1992,1.251
May 1992, 
